	Trump negative	Covid	economic	postal service	Care for older 	defende protests	minority problems	unemployment 	violence problemANTIFA(radical protest/liberal mob)	police  brutality	unite America	systemic racism	Obama	justice	equality	Senate	rebuild	woman 	progress	soul of this nation	change	Joe Biden positive	green	infrastructure	china	climate change	medical_care_health_care	 LGBTQ+	immigrants_openborders	voting rights	civil rights and liberties and freedom	Supreme Court 	education	children 	diversity 	small business	increase minimum wage	corruptionSwamp	safety	democracy 	troops_army_military	hate_groups_nationalism	families	Godfaith	foreign policy	Russia	gun_problem	American dream	conservative	MAGA	liberal elite/political establishment	Trump positive	patriotism	American People	Fake News	Biden negative	Harris negative	Radical Socialists/left	medical efficency/deal with covid	America FIRST 	voter fraud	censorship_big tech_corp	taxes and regulations/big gov	Impeachment WITCH HUNT	terrorists	immigrant problemWALL	constitution	pro life/unborn	rule of law/police support	defend America	working people/class	stimulus check	poverty	Forbid debt 	democrats do not enough	republican negative	war budget	oil, gas and coal companies negative	rich people	Green New Deal	political revolution and transforming 	tax the rich	 criminal system reform 	labor union	housing/homeless problem	democratic socialism	science	sexism	Muslim 	student debt	racial justice	religious bigoty	failed war on drugs/legalize	transform America	capitalism 	authoritarianism	peace	lobbyists 
sanders1		1	1					1																										1																												1									1	1	1	1	1																							
sanders2		1	1					1																										1																												1									1	1	1	1	1																							
sanders3	1	1	1	1				1								1								1		1	1									1																										1									1				1	1	1	1	1	1																		
sanders4	1	1	1											1					1				1			1	1		1								1																									1									1								1	1	1																	
sanders5		1	1					1								1											1																																			1											1			1			1			1																
sanders6	1	1												1				1	1				1			1	1		1				1				1						1																																	1				1			1	1	1	1												
sanders7	1						1					1		1				1	1									1												1			1			1																					1				1								1								1	1	1			1						
sanders8			1				1					1		1					1								1	1	1								1														1																				1								1	1	1							1		1								
sanders9	1	1	1											1												1																																																		1				1							1				1							
sanders10		1		1			1	1																			1		1	1																																										1	1												1													
sanders11	1	1														1											1																																																										1													
sanders12	1						1							1		1			1			1					1																																								1				1									1			1															
sanders13	1																		1		1																			1																																																										
sanders14	1																		1											1																																																																				
sanders15	1													1	1				1			1					1						1				1																																											1											1							
sanders16	1	1																	1																																																																															
sanders17	1											1							1			1	1				1						1							1																																							1			1						1				1						
sanders18		1	1			1								1					1																					1											1																				1																1				1							
sanders19	1						1					1		1				1	1									1												1			1			1																					1				1								1								1	1	1			1						
sanders20							1												1																																																																															
sanders21		1												1					1								1		1																						1											1									1									1																		
sanders22						1	1							1					1				1			1	1																								1																													1			1							1								
sanders23		1																									1																																												1																											
sanders24						1	1												1				1			1	1						1																																							1								1			1							1								
sanders25		1	1											1					1				1						1																																	1									1									1											1							
sanders26							1												1																																																																															
sanders27														1					1		1		1																												1																												1	1	1		1							1	1							
sanders28							1					1							1																																																						1										1										1	1				
sanders29							1					1							1																																																						1										1										1	1				
sanders30			1											1					1		1		1				1		1				1																													1																			1										1							
sanders31		1	1							1									1		1						1										1														1											1																		1	1				1						1			1				
sanders32		1						1								1											1																																													1	1			1																						
sanders33	1															1						1				1														1																															1	1				1	1	1	1			1																
sanders34		1	1			1	1					1		1									1																																																		1										1								1							
sanders35	1																		1							1																																																						1																		
sanders36																			1			1																																																																												
sanders37	1					1								1					1								1																								1											1									1										1																	
sanders38							1			1		1																	1																																												1										1								1							
sanders39		1		1				1		1		1				1										1																																														1				1			1												1							
sanders40							1							1					1														1				1																																										1				1		1													
sanders41										1				1					1				1			1	1										1																																										1															1				
sanders42							1	1				1														1	1					1	1																																															1																		
sanders43		1						1							1												1																																																																							
sanders44		1	1				1	1		1				1	1																						1																									1										1							1				1							1					1			
sanders45	1	1	1					1							1	1			1								1		1				1					1																																	1								1					1						1			1					
sanders46																			1														1				1																																						1																							
sanders47	1		1																							1	1						1							1																											1																1															
sanders48	1	1									1				1															1		1						1		1																															1																											
sanders49	1	1	1				1	1			1	1		1				1				1	1			1	1		1								1			1		1																													1	1											1				1	1				1						
sanders50	1																										1	1										1		1																															1											1					1											
sanders51							1							1					1				1				1		1				1																																						1								1	1			1							1								
sanders52	1	1																	1			1								1										1																																				1																						
sanders53							1												1		1						1																																												1								1				1											1				
sanders54		1	1			1		1		1				1									1										1				1						1																			1																	1				1		1						1				1			
sanders55	1																									1	1																																								1																1								1							
sanders56	1		1																			1		1			1						1				1			1			1																												1					1								1												1		
sanders57	1														1	1																1																																																																		
sanders58												1		1					1		1												1				1														1																																															
sanders59							1							1		1			1							1	1										1														1			1																	1								1															1				
sanders60	1																		1																																1											1																			1																1	
sanders61		1					1							1	1												1										1																									1									1						1		1						1					1	1							
sanders62	1	1												1							1			1			1										1																																																										1			
sanders63	1																		1																					1											1																								1																							
sanders64																																																																											1																							
sanders65	1						1									1											1										1																																											1			1		1													
sanders66	1	1														1		1	1		1	1				1	1		1				1					1													1																				1								1	1				1						1			1					
sanders67	1	1		1				1								1											1																																								1					1				1			1																	1		
sanders68	1																	1									1	1	1			1																																							1																											
sanders69	1																	1									1	1	1			1																																							1																											
sanders70	1	1				1				1																				1								1		1						1																					1																															
sanders71	1	1				1				1																				1								1		1						1																					1																															
sanders72	1														1	1										1	1	1		1		1															1															1									1								1																			
sanders73	1	1	1					1							1											1	1																																			1																	1			1														1		
sanders74	1	1																									1																																																																							
sanders75							1	1		1		1				1											1																																																								1		1						1		1					
sanders76	1	1													1								1														1														1					1						1									1								1						1	1								1				
sanders77		1	1			1		1				1		1				1								1	1	1									1	1		1							1							1																	1			1						1								1						1				
sanders78		1	1																								1									1																										1									1	1																										
sanders79	1			1															1			1								1										1																											1									1																						
sanders80		1				1				1		1							1																																1																				1										1																	
sanders81	1	1	1		1		1	1							1							1		1			1	1					1	1			1			1			1								1			1								1									1		1						1			1			1													
sanders82	1			1																										1																																																																		1		
sanders83		1					1																				1	1																																														1																								
sanders84	1	1	1											1		1			1							1	1					1					1						1																																					1											1			1				
sanders85	1	1			1			1			1	1				1			1								1																																													1	1			1			1						1												1	
sanders86	1	1			1			1			1	1				1			1								1																																													1	1			1			1						1												1	
sanders87																			1																																1																				1																											
sanders88		1	1					1																									1																																								1		1		1																	1			1	1
sanders89	1	1	1			1		1		1		1		1				1	1							1	1	1					1					1		1							1				1																						1							1							1	1		1								
sanders90			1			1				1		1		1	1				1																					1																						1									1		1																		1						1	
sanders91	1							1		1		1			1	1											1						1					1																																			1		1	1	1								1													
sanders92	1	1	1									1		1									1			1	1			1										1																						1									1	1				1	1		1												1							
sanders93																			1																																1											1									1							1	1						1									1				1
sanders94	1	1														1			1				1			1	1										1																									1									1									1					1						1							
