	Trump negative	Covid	economic	postal service	Care for older 	defende protests	minority problems	unemployment 	violence problemANTIFA(radical protest/liberal mob)	police  brutality	unite America	systemic racism	Obama	justice	equality	Senate	rebuild	woman 	progress	soul of this nation	change	Joe Biden positive	green	infrastructure	china	climate change	medical_care_health_care	 LGBTQ+	immigrants_openborders	voting rights	civil rights and liberties and freedom	Supreme Court 	education	children 	diversity 	small business	increase minimum wage	corruptionSwamp	safety	democracy 	troops_army_military	hate_groups_nationalism	families	Godfaith	foreign policy	Russia	gun_problem	American dream	conservative	MAGA	liberal elite/political establishment	Trump positive	patriotism	American People	Fake News	Biden negative	Harris negative	Radical Socialists/left	medical efficency/deal with covid	America FIRST 	voter fraud	censorship_big tech_corp	taxes and regulations/big gov	Impeachment WITCH HUNT	terrorists	immigrant problemWALL	constitution	pro life/unborn	rule of law/police support	defend America	working people/class	stimulus check	poverty	Forbid debt 	democrats do not enough	republican negative	war budget	oil, gas and coal companies negative	rich people	Green New Deal	political revolution and transforming 	tax the rich	 criminal system reform 	labor union	housing/homeless problem	democratic socialism	science	sexism	Muslim 	student debt	racial justice	religious bigoty	failed war on drugs/legalize	transform America	capitalism 	authoritarianism	peace	lobbyists 	
trump1																																																	1	1	1	1	1																																														
trump2																																																						1																																													
trump3																																																						1	1																																												
trump4																																																			1		1			1	1	1																																									
trump5		1																																									1							1			1	1					1	1																																							
trump6																																																		1		1																																															
trump7																																																				1																																															
trump8																																																			1		1			1		1																																									
trump9			1																												1					1		1						1								1	1			1																																											
trump10			1																												1					1		1						1								1	1			1																																											
trump11		1	1						1																1																											1	1	1				1		1	1																																						
trump12																																						1													1		1			1		1			1	1																																					
trump13																																																					1					1																																									
trump14			1																												1							1										1		1	1			1				1					1																																				
trump15																																							1											1			1																																														
trump16																																																			1		1					1																																									
trump17																																																					1																																														
trump18																																																					1		1			1						1																																			
trump19																																																				1																																															
trump20																																																1				1																																															
trump21																																						1												1	1	1		1	1			1																																									
trump22																																						1												1	1	1		1	1	1		1																																									
trump23																																																				1				1																																											
trump24																															1																		1	1		1	1					1																																									
trump25																																						1													1	1	1		1			1			1	1																																					
trump26																																																		1		1								1																																							
trump27			1																																				1		1									1		1				1							1		1	1																																	
trump28			1																																				1		1									1		1				1							1		1	1																																	
trump29																																																													1																																						
trump30		1																																																		1							1																																								
trump31																																																				1				1	1																																										
trump32																																																		1			1																																														
trump33		1	1																																																					1							1																																				
trump34		1	1																																																					1							1																																				
trump35																															1							1													1							1			1						1								1																								
trump36																																																					1																																														
trump37																																						1													1				1			1																	1																								
trump38																																																		1		1																																															
trump39																																																		1		1																																															
trump40																																						1																	1	1	1																																										
